Player,Overs,Mdns,Runs,WktsDescending,Econ,Inns,Opposition,Ground,Start Date,Team
ST Jayasuriya,1,0,1,1,1,3,Zimbabwe,Harare,5/6/2004,Sri Lanka
SB Styris,2,1,1,1,0.5,2,South Africa,Johannesburg,5/5/2006,New Zealand
FH Edwards,1,0,1,1,1,3,England,Kingston,2/4/2009,West Indies
BAW Mendis,3,2,1,1,0.33,4,West Indies,Colombo (RPS),11/23/2010,Sri Lanka
KS Williamson,0.5,0,1,1,2,2,South Africa,Hamilton,3/15/2012,New Zealand
TL Chatara,2,1,1,1,0.5,4,West Indies,Bridgetown,3/12/2013,Zimbabwe
KS Williamson,0.6666666666666666,0,1,1,1.5,4,West Indies,Kingston,6/8/2014,New Zealand
BB McCullum,2,1,1,1,0.5,2,Pakistan,Dubai (DSC),11/17/2014,New Zealand
Iftikhar Ahmed,2.333333333333333,1,1,1,0.42,3,England,The Oval,8/11/2016,Pakistan
JE Root,3,2,1,1,0.33,3,Australia,Melbourne,12/26/2017,England
PADLR Sandakan,0.8333333333333334,0,1,1,1.2,4,South Africa,Galle,7/12/2018,Sri Lanka
SM Curran,3.6666666666666665,2,1,1,0.27,4,India,Southampton,8/30/2018,England
Washington Sundar,0.6666666666666666,0,1,1,1.5,3,England,Ahmedabad,2/24/2021,India
Babar Azam,2,1,1,1,0.5,3,Bangladesh,Mirpur,12/4/2021,Pakistan
PH Edmonds,7,5,2,1,0.28,2,Pakistan,Manchester,6/4/1987,England
SR Waugh,2,1,2,1,1,3,New Zealand,Brisbane,12/4/1987,Australia
Mudassar Nazar,4,3,2,1,0.5,3,England,Karachi,12/16/1987,Pakistan
Shoaib Mohammad,1,0,2,1,2,4,Australia,Faisalabad,9/23/1988,Pakistan
SR Tendulkar,1,0,2,1,2,3,Australia,Sydney,1/2/1992,India
Waqar Younis,5,3,2,1,0.4,4,Australia,Rawalpindi,10/5/1994,Pakistan
S Chanderpaul,3,1,2,1,0.66,2,Australia,Adelaide,1/25/1997,West Indies
MR Ramprakash,2,1,2,1,1,3,West Indies,Georgetown,2/27/1998,England
WJ Cronje,6,4,2,1,0.33,4,England,Gqeberha,12/9/1999,South Africa
Shahid Afridi,1.1666666666666667,0,2,1,1.71,3,England,Lahore,11/15/2000,Pakistan
CD McMillan,5,3,2,1,0.4,3,Pakistan,Hamilton,3/27/2001,New Zealand
SR Waugh,4,3,2,1,0.5,1,England,Sydney,1/2/2003,Australia
JJC Lawson,1,0,2,1,2,4,Australia,Bridgetown,5/1/2003,West Indies
Mohammad Ashraful,0.6666666666666666,0,2,1,3,2,India,Dhaka,12/10/2004,Bangladesh
AG Prince,2,0,2,1,1,1,New Zealand,Cape Town,4/27/2006,South Africa
CD Collymore,3,2,2,1,0.66,4,Pakistan,Lahore,11/11/2006,West Indies
VVS Laxman,1,0,2,1,2,2,Pakistan,Eden Gardens,11/30/2007,India
JDP Oram,4,2,2,1,0.5,4,England,Hamilton,3/5/2008,New Zealand
CH Gayle,1,0,2,1,2,1,South Africa,Port of Spain,6/10/2010,West Indies
AN Petersen,2,1,2,1,1,4,West Indies,Port of Spain,6/10/2010,South Africa
MEK Hussey,4,2,2,1,0.5,3,Sri Lanka,Pallekele,9/8/2011,Australia
DL Vettori,4,3,2,1,0.5,2,Zimbabwe,Napier,1/26/2012,New Zealand
SPD Smith,1,0,2,1,2,1,West Indies,Roseau,6/3/2015,Australia
MM Ali,1,0,2,1,2,3,Sri Lanka,Leeds,5/19/2016,England
J Garner,1,0,3,1,3,4,New Zealand,Christchurch,3/12/1987,West Indies
W Watson,3,2,3,1,1,4,Zimbabwe,Harare,11/7/1992,New Zealand
ME Waugh,1,0,3,1,3,1,West Indies,Adelaide,1/23/1993,Australia
GA Hick,4,2,3,1,0.75,4,West Indies,Bridgetown,4/8/1994,England
SC Ganguly,5,3,3,1,0.6,1,West Indies,Port of Spain,3/14/1997,India
CEL Ambrose,5,3,3,1,0.6,1,England,Kingston,1/29/1998,West Indies
RP Arnold,7,4,3,1,0.42,1,Australia,Colombo (SSC),9/30/1999,Sri Lanka
L Klusener,9,7,3,1,0.33,4,West Indies,Bridgetown,3/29/2001,South Africa
DR Martyn,4,2,3,1,0.75,2,South Africa,Adelaide,12/14/2001,Australia
CD McMillan,4,1,3,1,0.75,3,South Africa,Auckland,3/18/2004,New Zealand
JH Kallis,3,1,3,1,1,3,Australia,Sydney,10/14/2005,ICC World XI
SB Styris,2,0,3,1,1.5,3,South Africa,Centurion,4/15/2006,New Zealand
MJ Clarke,2,0,3,1,1.5,2,West Indies,Bridgetown,6/12/2008,Australia
Mohammad Ashraful,1,0,3,1,3,2,New Zealand,Chattogram,10/17/2008,Bangladesh
JD Ryder,3,1,3,1,1,2,India,Napier,3/26/2009,New Zealand
JD Ryder,4,2,3,1,0.75,1,India,Wellington,4/3/2009,New Zealand
MEK Hussey,2,0,3,1,1.5,3,West Indies,Brisbane,11/26/2009,Australia
PD Collingwood,6,3,3,1,0.5,3,Australia,Perth,12/16/2010,England
D Elgar,2,0,3,1,1.5,3,Pakistan,Dubai (DSC),10/23/2013,South Africa
Mohammad Hafeez,3,0,3,1,1,4,Bangladesh,Mirpur,5/6/2015,Pakistan
SR Watson,4,2,3,1,0.75,4,West Indies,Kingston,6/11/2015,Australia
VR Aaron,3,0,3,1,1,4,South Africa,Mohali,11/5/2015,India
SPD Smith,1.1666666666666667,0,3,1,2.57,3,South Africa,Perth,11/3/2016,Australia
RA Jadeja,8,5,3,1,0.37,4,Australia,Bengaluru,3/4/2017,India
MA Wood,1,0,3,1,3,4,South Africa,Lord's,7/6/2017,England
Mahmudullah,3,0,3,1,1,1,Zimbabwe,Sylhet,11/3/2018,Bangladesh
C de Grandhomme,4,1,3,1,0.75,4,Pakistan,Abu Dhabi,12/3/2018,New Zealand
Mahmudullah,1,0,3,1,3,2,New Zealand,Hamilton,2/28/2019,Bangladesh
C de Grandhomme,5,3,3,1,0.6,3,India,Christchurch,2/29/2020,New Zealand
Shaheen Shah Afridi,4,3,3,1,0.75,2,Bangladesh,Mirpur,12/4/2021,Pakistan
DW Hookes,2,0,4,1,2,2,India,Adelaide,12/13/1985,Australia
CB Lambert,0.6666666666666666,0,4,1,6,4,England,The Oval,8/8/1991,West Indies
DA Reeve,4.833333333333333,2,4,1,0.82,4,New Zealand,Wellington,2/6/1992,England
MJ Slater,1.1666666666666667,0,4,1,3.42,3,Pakistan,Rawalpindi,10/5/1994,Australia
GW Flower,2,0,4,1,2,2,Pakistan,Faisalabad,10/24/1996,Zimbabwe
SR Waugh,4,1,4,1,1,3,South Africa,Johannesburg,2/28/1997,Australia
ST Jayasuriya,3,0,4,1,1.33,2,South Africa,Galle,7/20/2000,Sri Lanka
R Clarke,1,0,4,1,4,4,Bangladesh,Chattogram,10/29/2003,England
JH Kallis,7,5,4,1,0.57,1,New Zealand,Wellington,3/26/2004,South Africa
ST Jayasuriya,4,1,4,1,1,2,Pakistan,Faisalabad,10/20/2004,Sri Lanka
SP Jones,6,4,4,1,0.66,1,Bangladesh,Lord's,5/26/2005,England
Mohammad Ashraful,5,1,4,1,0.8,4,West Indies,Kingstown,7/9/2009,Bangladesh
GP Swann,2,0,4,1,2,1,Australia,Birmingham,7/30/2009,England
V Sehwag,3,0,4,1,1.33,3,Sri Lanka,Kanpur,11/24/2009,India
TM Dilshan,5,2,4,1,0.8,4,West Indies,Colombo (RPS),11/23/2010,Sri Lanka
Azhar Ali,3,1,4,1,1.33,3,Sri Lanka,Abu Dhabi,10/18/2011,Pakistan
Mahmudullah,4,1,4,1,1,4,Zimbabwe,Chattogram,11/12/2014,Bangladesh
D Elgar,1,0,4,1,4,1,India,Visakhapatnam,10/2/2019,South Africa
SC Williams,3,2,4,1,1.33,1,Afghanistan,Abu Dhabi,3/2/2021,Zimbabwe
Wasim Akram,5,3,5,1,1,3,Sri Lanka,Kandy,2/23/1986,Pakistan
RJ Shastri,3,1,5,1,1.66,2,England,Leeds,6/19/1986,India
GR Dilley,6,3,5,1,0.83,4,New Zealand,Lord's,7/24/1986,England
DM Jones,3,1,5,1,1.66,1,New Zealand,Adelaide,12/11/1987,Australia
CL Hooper,5,2,5,1,1,4,Australia,Perth,12/2/1988,West Indies
M Prabhakar,4,3,5,1,1.25,3,Zimbabwe,Delhi,3/13/1993,India
WKM Benjamin,6,5,5,1,0.83,3,Sri Lanka,Moratuwa,12/8/1993,West Indies
PA de Silva,4,2,5,1,1.25,4,Pakistan,Sialkot,9/22/1995,Sri Lanka
RG Twose,3,1,5,1,1.66,4,Zimbabwe,Auckland,1/20/1996,New Zealand
SC Ganguly,3,0,5,1,1.66,3,England,Lord's,6/20/1996,India
DG Cork,6,2,5,1,0.83,3,New Zealand,Christchurch,2/14/1997,England
PR Adams,4,0,5,1,1.25,2,Australia,Gqeberha,3/14/1997,South Africa
GS Blewett,3,2,5,1,1.66,1,India,Sydney,1/2/2000,Australia
D Gough,2,0,5,1,2.5,4,Australia,Lord's,7/19/2001,England
GD McGrath,6,2,5,1,0.83,3,Pakistan,Sharjah,10/11/2002,Australia
A Kumble,6,3,5,1,0.83,4,Australia,Wankhede,11/3/2004,India
N Deonarine,1.8333333333333333,0,5,1,2.72,2,South Africa,Georgetown,3/31/2005,West Indies
DR Smith,2,0,5,1,2.5,2,Sri Lanka,Colombo (SSC),7/13/2005,West Indies
JH Kallis,5,3,5,1,1,3,New Zealand,Cape Town,4/27/2006,South Africa
PD Collingwood,4,2,5,1,1.25,1,Australia,Sydney,1/3/2011,England
IJL Trott,4,1,5,1,1.25,4,Sri Lanka,Lord's,6/3/2011,England
Mohammad Hafeez,6,3,5,1,0.83,1,England,Dubai (DSC),1/17/2012,Pakistan
I Sharma,5,2,5,1,1,3,Australia,Hyderabad,3/2/2013,India
SR Tendulkar,2,1,5,1,2.5,1,West Indies,Eden Gardens,11/6/2013,India
JE Root,2,0,5,1,2.5,4,India,Southampton,7/27/2014,England
TL Chatara,2,1,5,1,2.5,4,South Africa,Harare,8/9/2014,Zimbabwe
S van Zyl,4,1,5,1,1.25,3,India,Mohali,11/5/2015,South Africa
SC Williams,4,0,5,1,1.25,2,Bangladesh,Sylhet,11/3/2018,Zimbabwe
M Labuschagne,2,1,5,1,2.5,2,Sri Lanka,Canberra,2/1/2019,Australia
Amir Hamza,2.333333333333333,1,5,1,2.14,4,West Indies,Lucknow,11/27/2019,Afghanistan
CAK Rajitha,6,2,5,1,0.83,2,Pakistan,Rawalpindi,12/11/2019,Sri Lanka
UT Yadav,3.5,0,5,1,1.42,3,Australia,Melbourne,12/26/2020,India
Mohammed Siraj,5,4,5,1,1,2,England,Chennai,2/13/2021,India
KR Mayers,6,4,5,1,0.83,4,Sri Lanka,North Sound,3/29/2021,West Indies
OP Stone,1,0,5,1,5,4,New Zealand,Birmingham,6/10/2021,England
Mudassar Nazar,6,1,6,1,1,1,Sri Lanka,Sialkot,10/27/1985,Pakistan
WKM Benjamin,4,1,6,1,1.5,3,England,Manchester,6/30/1988,West Indies
A Ranatunga,6,3,6,1,1,2,England,Lord's,8/25/1988,Sri Lanka
PR Sleep,8,5,6,1,0.75,2,Pakistan,Melbourne,1/12/1990,Australia
ME Waugh,5,2,6,1,1.2,3,Pakistan,Brisbane,11/9/1995,Australia
DS Lehmann,2,0,6,1,3,4,Pakistan,Karachi,10/22/1998,Australia
NJ Astle,4,2,6,1,1.5,3,England,Lord's,7/22/1999,New Zealand
CS Martin,4,1,6,1,1.5,3,Bangladesh,Hamilton,12/18/2001,New Zealand
SM Pollock,1,0,6,1,6,4,Australia,Melbourne,12/26/2001,South Africa
DS Lehmann,4,0,6,1,1.5,3,West Indies,Georgetown,4/10/2003,Australia
RR Sarwan,4,1,6,1,1.5,2,England,Kingston,3/11/2004,West Indies
MV Boucher,1.3333333333333333,0,6,1,4.5,2,West Indies,St John's,4/29/2005,South Africa
Shahid Afridi,2,0,6,1,3,1,Sri Lanka,Colombo (SSC),3/26/2006,Pakistan
M Muralidaran,4,2,6,1,1.5,2,England,Galle,12/18/2007,Sri Lanka
JH Kallis,6.166666666666667,2,6,1,0.97,2,West Indies,Port of Spain,6/10/2010,South Africa
JE Root,2,0,6,1,3,4,Australia,Nottingham,7/10/2013,England
AN Cook,2,0,6,1,3,3,India,Nottingham,7/9/2014,England
VD Philander,7,4,6,1,0.85,3,West Indies,Centurion,12/17/2014,South Africa
D Elgar,3,0,6,1,2,2,Bangladesh,Chattogram,7/21/2015,South Africa
CR Woakes,4,1,6,1,1.5,4,India,Rajkot,11/9/2016,England
Azhar Ali,3,1,6,1,2,4,New Zealand,Christchurch,11/17/2016,Pakistan
AS Joseph,3,1,6,1,2,4,Pakistan,Kingston,4/21/2017,West Indies
Mohammad Abbas,4,2,6,1,1.5,3,Sri Lanka,Dubai (DSC),10/6/2017,Pakistan
Shan Masood,3,1,6,1,2,4,South Africa,Centurion,12/26/2018,Pakistan
M Labuschagne,3,1,6,1,2,4,Sri Lanka,Canberra,2/1/2019,Australia
PWA Mulder,3,2,6,1,2,2,Sri Lanka,Gqeberha,2/21/2019,South Africa
C Green,3,1,6,1,2,1,England,Brisbane,12/8/2021,Australia
Rizwan-uz-Zaman,5,2,7,1,1.4,1,India,Jaipur,2/21/1987,Pakistan
WV Raman,1,0,7,1,7,4,West Indies,Chennai,1/11/1988,India
Saleem Malik,6,4,7,1,1.16,2,Australia,Karachi,9/15/1988,Pakistan
SR Waugh,4,2,7,1,1.75,3,England,Brisbane,11/23/1990,Australia
UC Hathurusinghe,8,4,7,1,0.87,3,South Africa,Colombo (PSS),9/14/1993,Sri Lanka
ME Waugh,9,4,7,1,0.77,2,New Zealand,Hobart,11/26/1993,Australia
ST Jayasuriya,3,0,7,1,2.33,2,West Indies,Moratuwa,12/8/1993,Sri Lanka
Mohammad Hussain,6,3,7,1,1.16,1,Zimbabwe,Faisalabad,10/24/1996,Pakistan
CL Hooper,3,0,7,1,2.33,3,Australia,Perth,2/1/1997,West Indies
CA Walsh,8,3,7,1,0.87,4,India,Kingston,3/6/1997,West Indies
NJ Astle,7,3,7,1,1,3,India,Wellington,12/26/1998,New Zealand
DL Vettori,4,0,7,1,1.75,4,South Africa,Wellington,3/18/1999,New Zealand
DPMD Jayawardene,5,3,7,1,1.4,2,Pakistan,Peshawar,3/5/2000,Sri Lanka
KP Walmsley,5,2,7,1,1.4,4,South Africa,Gqeberha,11/30/2000,New Zealand
CRD Fernando,2,0,7,1,3.5,4,England,Colombo (SSC),3/15/2001,Sri Lanka
TT Samaraweera,4,1,7,1,1.75,3,West Indies,Galle,11/13/2001,Sri Lanka
TT Samaraweera,5,1,7,1,1.4,2,Zimbabwe,Colombo (SSC),12/27/2001,Sri Lanka
CH Gayle,4,2,7,1,1.75,4,India,Kingston,5/18/2002,West Indies
PA de Silva,2.5,1,7,1,2.8,3,Bangladesh,Colombo (PSS),7/21/2002,Sri Lanka
SCG MacGill,2.5,0,7,1,2.8,2,West Indies,St John's,5/9/2003,Australia
JH Kallis,6,3,7,1,1.16,3,West Indies,Bridgetown,4/21/2005,South Africa
MS Panesar,2,0,7,1,3.5,1,Sri Lanka,Birmingham,5/25/2006,England
V Sehwag,2.6666666666666665,1,7,1,2.62,3,South Africa,Durban,12/26/2006,India
JH Kallis,7,3,7,1,1,2,Pakistan,Lahore,10/8/2007,South Africa
Mohammad Ashraful,3,0,7,1,2.33,1,New Zealand,Mirpur,10/25/2008,Bangladesh
I Sharma,5,1,7,1,1.4,4,England,Mohali,12/19/2008,India
Yuvraj Singh,2,0,7,1,3.5,3,Sri Lanka,Kanpur,11/24/2009,India
JP Duminy,3,0,7,1,2.33,2,England,Centurion,12/16/2009,South Africa
V Sehwag,4,1,7,1,1.75,4,Bangladesh,Chattogram,1/17/2010,India
Umar Amin,2,0,7,1,3.5,1,Australia,Leeds,7/21/2010,Pakistan
Z Khan,4,2,7,1,1.75,4,New Zealand,Ahmedabad,11/4/2010,India
TT Samaraweera,4,0,7,1,1.75,2,Australia,Pallekele,9/8/2011,Sri Lanka
MEK Hussey,4,1,7,1,1.75,3,New Zealand,Brisbane,12/1/2011,Australia
Elias Sunny,0.8333333333333334,0,7,1,8.4,4,Pakistan,Mirpur,12/17/2011,Bangladesh
DW Steyn,5,3,7,1,1.4,4,Pakistan,Abu Dhabi,10/14/2013,South Africa
Nasir Hossain,3,1,7,1,2.33,2,New Zealand,Mirpur,10/21/2013,Bangladesh
JE Root,5,3,7,1,1.4,4,New Zealand,Lord's,5/21/2015,England
SPD Smith,1,0,7,1,7,3,England,The Oval,8/20/2015,Australia
D Elgar,4,0,7,1,1.75,1,India,Nagpur,11/25/2015,South Africa
I Sharma,5,3,7,1,1.4,1,West Indies,Port of Spain,8/18/2016,India
ST Gabriel,3,1,7,1,2.33,4,Pakistan,Kingston,4/21/2017,West Indies
Asad Shafiq,3.6666666666666665,0,7,1,1.9,3,Sri Lanka,Abu Dhabi,9/28/2017,Pakistan
Haris Sohail,5,2,7,1,1.4,3,Sri Lanka,Abu Dhabi,9/28/2017,Pakistan
KA Maharaj,5,2,7,1,1.4,2,Bangladesh,Bloemfontein,10/6/2017,South Africa
DJ Mitchell,3,0,7,1,2.33,3,West Indies,Hamilton,12/3/2020,New Zealand
PJW Allott,7,4,8,1,1.14,4,Australia,Lord's,6/27/1985,England
A Ranatunga,5,1,8,1,1.6,2,India,Colombo (PSS),9/6/1985,Sri Lanka
Manzoor Elahi,3,2,8,1,2.66,2,India,Ahmedabad,3/4/1987,Pakistan
DJ Capel,3,0,8,1,2.66,2,Pakistan,Karachi,12/16/1987,England
IVA Richards,7,3,8,1,1.14,3,Pakistan,Bridgetown,4/22/1988,West Indies
ME Waugh,5,3,8,1,1.6,4,West Indies,St John's,4/27/1991,Australia
ME Waugh,4,0,8,1,2,3,New Zealand,Hobart,11/26/1993,Australia
GW Flower,6,2,8,1,1.33,1,Pakistan,Karachi,12/1/1993,Zimbabwe
CA Walsh,4,1,8,1,2,3,New Zealand,Christchurch,2/3/1995,West Indies
RT Ponting,4,2,8,1,2,2,Sri Lanka,Melbourne,12/26/1995,Australia
CEW Silverwood,7,3,8,1,1.14,3,Zimbabwe,Bulawayo,12/18/1996,England
L Klusener,7.166666666666667,2,8,1,1.11,2,India,Durban,12/26/1996,South Africa
GD McGrath,5,2,8,1,1.6,3,South Africa,Sydney,1/2/1998,Australia
JH Kallis,5,3,8,1,1.6,2,England,Lord's,6/18/1998,South Africa
AA Donald,2,0,8,1,4,4,West Indies,Centurion,1/15/1999,South Africa
SR Tendulkar,3,1,8,1,2.66,1,Pakistan,Eden Gardens,2/16/1999,India
SB O'Connor,9,5,8,1,0.88,3,Zimbabwe,Bulawayo,9/12/2000,New Zealand
SB O'Connor,8,4,8,1,1,4,Zimbabwe,Wellington,12/26/2000,New Zealand
Enamul Haque,3,0,8,1,2.66,4,Zimbabwe,Harare,4/26/2001,Bangladesh
RDB Croft,1,0,8,1,8,4,Australia,Nottingham,8/2/2001,England
MA Butcher,5,2,8,1,1.6,2,Zimbabwe,Lord's,5/22/2003,England
MJ Clarke,3,1,8,1,2.66,2,New Zealand,Wellington,3/18/2005,Australia
GD McGrath,6,3,8,1,1.33,4,ICC World XI,Sydney,10/14/2005,Australia
PP Chawla,5.166666666666667,2,8,1,1.54,3,England,Mohali,3/9/2006,India
SR Clark,4,2,8,1,2,3,Bangladesh,Fatullah,4/9/2006,Australia
VRV Singh,3.1666666666666665,0,8,1,2.52,2,South Africa,Johannesburg,12/15/2006,India
WPUJC Vaas,7,3,8,1,1.14,1,Bangladesh,Colombo (SSC),6/25/2007,Sri Lanka
DL Vettori,6,2,8,1,1.33,1,Bangladesh,Dunedin,1/4/2008,New Zealand
M Morkel,5,1,8,1,1.6,4,India,Kanpur,4/11/2008,South Africa
AJ Redmond,2.5,1,8,1,3.2,3,Bangladesh,Chattogram,10/17/2008,New Zealand
V Sehwag,5,0,8,1,1.6,1,Sri Lanka,Colombo (PSS),8/3/2010,India
DJ Bravo,4,1,8,1,2,3,Sri Lanka,Colombo (RPS),11/23/2010,West Indies
Mahmudullah,2,0,8,1,4,1,Zimbabwe,Harare,8/4/2011,Bangladesh
PM Siddle,3.5,0,8,1,2.28,4,England,Manchester,8/1/2013,Australia
DL Vettori,5,2,8,1,1.6,3,Pakistan,Sharjah,11/26/2014,New Zealand
D Elgar,2,0,8,1,4,2,West Indies,Centurion,12/17/2014,South Africa
Mahmudullah,2.1666666666666665,0,8,1,3.69,3,Pakistan,Mirpur,5/6/2015,Bangladesh
MR Marsh,3,2,8,1,2.66,4,England,Lord's,7/16/2015,Australia
MJ Santner,2,0,8,1,4,4,Australia,Adelaide,11/27/2015,New Zealand
CH Morris,6,2,8,1,1.33,4,England,Johannesburg,1/14/2016,South Africa
C de Grandhomme,4,1,8,1,2,3,Sri Lanka,Colombo (PSS),8/22/2019,New Zealand
KC Brathwaite,2,0,8,1,4,1,India,Kingston,8/30/2019,West Indies
Sikandar Raza,3,0,8,1,2.66,1,Afghanistan,Abu Dhabi,3/2/2021,Zimbabwe
JM Anderson,10,6,8,1,0.8,3,Australia,Adelaide,12/16/2021,England
JV Coney,8,5,9,1,1.12,3,Australia,Perth,11/30/1985,New Zealand
IVA Richards,5,2,9,1,1.8,3,Pakistan,Lahore,11/7/1986,West Indies
HA Gomes,4,1,9,1,2.25,3,New Zealand,Auckland,2/27/1987,West Indies
Saleem Malik,5,2,9,1,1.8,1,England,Karachi,12/16/1987,Pakistan
RJ Shastri,7,2,9,1,1.28,4,West Indies,Kingston,4/28/1989,India
Ijaz Ahmed,5,0,9,1,1.8,1,New Zealand,Karachi,10/10/1990,Pakistan
ME Waugh,6,2,9,1,1.5,2,West Indies,Port of Spain,4/5/1991,Australia
DE Malcolm,2.833333333333333,0,9,1,3.17,3,West Indies,Lord's,6/20/1991,England
MD Marshall,5,3,9,1,1.8,4,England,The Oval,8/8/1991,West Indies
SR Tendulkar,3,0,9,1,3,4,South Africa,Gqeberha,12/26/1992,India
UC Hathurusinghe,9,5,9,1,1,4,South Africa,Moratuwa,8/25/1993,Sri Lanka
ST Jayasuriya,5,1,9,1,1.8,1,South Africa,Colombo (PSS),9/14/1993,Sri Lanka
ME Waugh,2,0,9,1,4.5,4,West Indies,Port of Spain,4/21/1995,Australia
MS Atapattu,4,0,9,1,2.25,4,Pakistan,Colombo (SSC),4/26/1997,Sri Lanka
J Srinath,6,4,9,1,1.5,4,Australia,Chennai,3/6/1998,India
UDU Chandana,2.333333333333333,0,9,1,3.85,3,Australia,Kandy,9/9/1999,Sri Lanka
ST Jayasuriya,3,1,9,1,3,2,Pakistan,Peshawar,3/5/2000,Sri Lanka
CH Gayle,6,3,9,1,1.5,3,Zimbabwe,Kingston,3/24/2000,West Indies
AR Caddick,2,1,9,1,4.5,4,Zimbabwe,Nottingham,6/1/2000,England
NJ Astle,11,6,9,1,0.81,1,Zimbabwe,Bulawayo,9/12/2000,New Zealand
SB O'Connor,8,4,9,1,1.12,4,South Africa,Gqeberha,11/30/2000,New Zealand
AR Caddick,1.1666666666666667,0,9,1,7.71,4,Australia,Lord's,7/19/2001,England
CJ Drum,3,0,9,1,3,3,Bangladesh,Wellington,12/26/2001,New Zealand
H Masakadza,3,0,9,1,3,2,Sri Lanka,Kandy,1/4/2002,Zimbabwe
Sanuar Hossain,3,0,9,1,3,1,South Africa,East London,10/18/2002,Bangladesh
S Chanderpaul,3,0,9,1,3,3,India,Eden Gardens,10/30/2002,West Indies
GC Smith,5,2,9,1,1.8,3,Bangladesh,Chattogram,4/24/2003,South Africa
Rajin Saleh,5,0,9,1,1.8,2,Pakistan,Karachi,8/20/2003,Bangladesh
Saqlain Mushtaq,2.5,0,9,1,3.6,3,Bangladesh,Multan,9/3/2003,Pakistan
RR Sarwan,3,1,9,1,3,3,Bangladesh,Kingston,6/4/2004,West Indies
SM Pollock,7,3,9,1,1.28,4,England,Centurion,1/21/2005,South Africa
WW Hinds,8,5,9,1,1.12,2,South Africa,Port of Spain,4/8/2005,West Indies
RT Ponting,6,2,9,1,1.5,1,England,Nottingham,8/25/2005,Australia
Mohammad Ashraful,1,0,9,1,9,2,South Africa,Mirpur,2/22/2008,Bangladesh
S Sreesanth,9,4,9,1,1,3,South Africa,Kanpur,4/11/2008,India
SR Tendulkar,2,0,9,1,4.5,3,South Africa,Cape Town,1/2/2011,India
SK Raina,6.333333333333333,1,9,1,1.42,4,West Indies,Kingston,6/20/2011,India
UWMBCA Welegedara,5,2,9,1,1.8,4,Pakistan,Abu Dhabi,10/18/2011,Sri Lanka
DJG Sammy,6,1,9,1,1.5,3,Bangladesh,Chattogram,10/21/2011,West Indies
IJL Trott,6,3,9,1,1.5,1,New Zealand,Auckland,3/22/2013,England
Mahmudullah,3,0,9,1,3,1,South Africa,Chattogram,7/21/2015,Bangladesh
A Mishra,3,0,9,1,3,2,South Africa,Nagpur,11/25/2015,India
MM Ali,3.1666666666666665,1,9,1,2.84,3,India,Visakhapatnam,11/17/2016,England
BA Stokes,9,4,9,1,1,3,West Indies,Birmingham,8/17/2017,England
L Ngidi,9,5,9,1,1,3,Sri Lanka,Colombo (SSC),7/20/2018,South Africa
AU Rashid,4,1,9,1,2.25,4,India,Birmingham,8/1/2018,England
M Labuschagne,3,0,9,1,3,3,Pakistan,Dubai (DSC),10/7/2018,Australia
KA Maharaj,2,0,9,1,4.5,2,Sri Lanka,Gqeberha,2/21/2019,South Africa
M Labuschagne,4,1,9,1,2.25,4,England,Manchester,9/4/2019,Australia
Mahmudullah,4,0,9,1,2.25,1,Afghanistan,Chattogram,9/5/2019,Bangladesh
M Labuschagne,5,1,9,1,1.8,2,New Zealand,Perth,12/12/2019,Australia
SL Boock,4,2,10,1,2.5,3,Pakistan,Auckland,1/25/1985,New Zealand
GC Small,8,3,10,1,1.25,4,New Zealand,Nottingham,8/7/1986,England
GRJ Matthews,8,4,10,1,1.25,4,England,Adelaide,12/12/1986,Australia
RJ Shastri,3.5,1,10,1,2.85,3,New Zealand,Hyderabad (Deccan),12/2/1988,India
M Venkataramana,0.6666666666666666,0,10,1,15,4,West Indies,Kingston,4/28/1989,India
EAR de Silva,9,6,10,1,1.11,1,Australia,Hobart,12/16/1989,Sri Lanka
AR Border,4,0,10,1,2.5,1,Pakistan,Adelaide,1/19/1990,Australia
CL Hooper,5,2,10,1,2,2,England,Lord's,6/20/1991,West Indies
M Prabhakar,9,3,10,1,1.11,2,England,Eden Gardens,1/29/1993,India
N Kapil Dev,5,1,10,1,2,1,Sri Lanka,Kandy,7/17/1993,India
SR Waugh,7,2,10,1,1.42,4,New Zealand,Perth,11/12/1993,Australia
WJ Cronje,10,6,10,1,1,3,New Zealand,Durban,12/26/1994,South Africa
NJ Astle,4,1,10,1,2.5,4,Pakistan,Lahore,11/21/1996,New Zealand
GJ Whittall,2,0,10,1,5,4,England,Bulawayo,12/18/1996,Zimbabwe
SR Waugh,6,4,10,1,1.66,4,New Zealand,Hobart,11/27/1997,Australia
DJ Nash,9,6,10,1,1.11,3,Zimbabwe,Wellington,2/19/1998,New Zealand
SR Tendulkar,3,0,10,1,3.33,1,Pakistan,Chennai,1/28/1999,India
CL Cairns,3,1,10,1,3.33,4,India,Kanpur,10/22/1999,New Zealand
JH Kallis,6,3,10,1,1.66,3,India,Bengaluru,3/2/2000,South Africa
DJ Cullinan,2,0,10,1,5,1,Sri Lanka,Galle,7/20/2000,South Africa
SCG MacGill,5,1,10,1,2,1,West Indies,Brisbane,11/23/2000,Australia
ME Waugh,9,3,10,1,1.11,3,West Indies,Sydney,1/2/2001,Australia
JEC Franklin,6,2,10,1,1.66,1,Pakistan,Hamilton,3/27/2001,New Zealand
ST Jayasuriya,7,3,10,1,1.42,3,India,Galle,8/14/2001,Sri Lanka
